Host Pool, RDP Property, Value 1, Value 2, Status
HB-WVD-BetaTest,drivestoredirect,s,*
HB-WVD-BetaTest,audiomode,i,0
HB-WVD-BetaTest,videoplaybackmode,i,1
HB-WVD-BetaTest,redirectclipboard,i,1
HB-WVD-BetaTest,redirectprinters,i,1
HB-WVD-BetaTest,devicestoredirect,s,*
HB-WVD-BetaTest,redirectcomports,i,1
HB-WVD-BetaTest,redirectsmartcards,i,1
HB-WVD-BetaTest,usbdevicestoredirect,s,*
HB-WVD-BetaTest,enablecredsspsupport,i,1
HB-ZeroSystems-POC,audiomode,i,0
HB-ZeroSystems-POC,videoplaybackmode,i,1
HB-ZeroSystems-POC,redirectclipboard,i,1
HB-ZeroSystems-POC,redirectprinters,i,1
HB-ZeroSystems-POC,devicestoredirect,s,*
HB-ZeroSystems-POC,redirectcomports,i,1
HB-ZeroSystems-POC,redirectsmartcards,i,1
HB-ZeroSystems-POC,usbdevicestoredirect,s,*
HB-ZeroSystems-POC,enablecredsspsupport,i,1
HB-ZeroSystems-POC,audiocapturemode,i,1
HB-ZeroSystems-POC,use multimon,i,1
HB-ZeroSystems-POC,redirected video capture encoding quality,i,1
HB-ZeroSystems-POC,camerastoredirect,s,*
HB-ZeroSystems-POC,maximizetocurrentdisplays,i,1
HB-ZeroSystems-POC,singlemoninwindowedmode,i,1
HB-ZeroSystems-POC,screen mode id,i,2
HB-ZeroSystems-POC,smart sizing,i,1
